organism,eukaryotic,prokaryotic,kingdom,phylum,class,order,vertebrate,fur,feathers,scales,wings,fins,marine,terrestrial,carnivore,herbivore,omnivore,decomposer,photosynthesis,autotroph,multicellular,poisonous
badger,yes,no,animalia,chordata,mammalia,carnivora,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no
bat,yes,no,animalia,chordata,mammalia,chiroptera,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no
bear,yes,no,animalia,chordata,mammalia,ursidae,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no
beaver,yes,no,animalia,chordata,mammalia,rodentia,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no
bee,yes,no,animalia,arthropoda,insecta,hymenoptera,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no
black widow,yes,no,animalia,arthropoda,arachnid,araneae,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes
bobcat,yes,no,animalia,chordata,mammalia,carnivora,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no
butterfly,yes,no,animalia,arthropoda,insecta,lepidoptera,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no
cat,yes,no,animalia,chordata,mammalia,carnivora,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no
chicken,yes,no,animalia,chordata,aves,galliformes,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no
chimpanzee,yes,no,animalia,chordata,mammalia,primates,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no
chipmunk,yes,no,animalia,chordata,mammalia,rodentia,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no
clownfish,yes,no,animalia,chordata,actinopterygii,perciformes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no
cow,yes,no,animalia,chordata,mammalia,artiodactyla,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no
crocodile,yes,no,animalia,chordata,reptilia,crocodilia,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no
death cap,yes,no,fungi,basidiomycota,agaricomycetes,agaricales,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes
deer,yes,no,animalia,chordata,mammalia,artiodactyla,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no
dog,yes,no,animalia,chordata,mammalia,carnivora,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no
dolphin,yes,no,animalia,chordata,mammalia,cetacea,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no
dragonfly,yes,no,animalia,arthropoda,insecta,odonata,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no
duck,yes,no,animalia,chordata,aves,anseriformes,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no
eagle,yes,no,animalia,chordata,aves,falconiformes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no
flamingo,yes,no,animalia,chordata,aves,phoenicopteriformes,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no
flea,yes,no,animalia,arthropoda,insecta,siphonaptera,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no
fly,yes,no,animalia,arthropoda,insecta,diptera,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no
fox,yes,no,animalia,chordata,mammalia,carnivora,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no
giraffe,yes,no,animalia,chordata,mammalia,artiodactyla,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no
goose,yes,no,animalia,chordata,aves,anseriformes,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no
hamster,yes,no,animalia,chordata,mammalia,rodentia,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no
hippopotamus,yes,no,animalia,chordata,mammalia,artiodactyla,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no
kangaroo,yes,no,animalia,chordata,mammalia,diprotodontia,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no
lemur,yes,no,animalia,chordata,mammalia,primates,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no
lizard,yes,no,animalia,chordata,reptilia,squamata,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no
mold,yes,no,fungi,zygomycota,mucoromycotina,mucorales,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no
