organism,eukaryotic,prokaryotic,domain,kingdom,phylum,class,order,chloroplast,autotroph,multicellular,extreme
worm,yes,no,eukarya,animalia,annelida,oligochaeta,megadrilacea,no,no,no,no
bee,yes,no,eukarya,animalia,arthropoda,insecta,hymenoptera,no,no,yes,no
black widow,yes,no,eukarya,animalia,arthropoda,arachnid,araneae,no,no,yes,no
butterfly,yes,no,eukarya,animalia,arthropoda,insecta,lepidoptera,no,no,yes,no
dragonfly,yes,no,eukarya,animalia,arthropoda,insecta,odonata,no,no,yes,no
flea,yes,no,eukarya,animalia,arthropoda,insecta,siphonaptera,no,no,yes,no
fly,yes,no,eukarya,animalia,arthropoda,insecta,diptera,no,no,yes,no
mosquito,yes,no,eukarya,animalia,arthropoda,insecta,diptera,no,no,yes,no
moth,yes,no,eukarya,animalia,arthropoda,insecta,lepidoptera,no,no,yes,no
scorpion,yes,no,eukarya,animalia,arthropoda,arachnida,scorpiones,no,no,yes,no
wasp,yes,no,eukarya,animalia,arthropoda,insecta,hymenoptera,no,no,yes,no
yeast,yes,no,eukarya,fungi,ascomycota,saccharomycetes�,saccharomycetales,no,no,no,no
death cap,yes,no,eukarya,fungi,basidiomycota,agaricomycetes,agaricales,no,no,yes,no
white mushroom,yes,no,eukarya,fungi,basidiomycota,agaricomycetes,agaricales,no,no,yes,no
moss,yes,no,eukarya,plantae,bryophyta,polytrichaceae,bromeliales,yes,yes,yes,no
badger,yes,no,eukarya,animalia,chordata,mammalia,carnivora,no,no,yes,no
bat,yes,no,eukarya,animalia,chordata,mammalia,chiroptera,no,no,yes,no
bear,yes,no,eukarya,animalia,chordata,mammalia,ursidae,no,no,yes,no
beaver,yes,no,eukarya,animalia,chordata,mammalia,rodentia,no,no,yes,no
bobcat,yes,no,eukarya,animalia,chordata,mammalia,carnivora,no,no,yes,no
cat,yes,no,eukarya,animalia,chordata,mammalia,carnivora,no,no,yes,no
chicken,yes,no,eukarya,animalia,chordata,aves,galliformes,no,no,yes,no
chimpanzee,yes,no,eukarya,animalia,chordata,mammalia,primates,no,no,yes,no
chipmunk,yes,no,eukarya,animalia,chordata,mammalia,rodentia,no,no,yes,no
clownfish,yes,no,eukarya,animalia,chordata,actinopterygii,perciformes,no,no,yes,no
cow,yes,no,eukarya,animalia,chordata,mammalia,artiodactyla,no,no,yes,no
crocodile,yes,no,eukarya,animalia,chordata,reptilia,crocodilia,no,no,yes,no
deer,yes,no,eukarya,animalia,chordata,mammalia,artiodactyla,no,no,yes,no
dog,yes,no,eukarya,animalia,chordata,mammalia,carnivora,no,no,yes,no
dolphin,yes,no,eukarya,animalia,chordata,mammalia,cetacea,no,no,yes,no
duck,yes,no,eukarya,animalia,chordata,aves,anseriformes,no,no,yes,no
eagle,yes,no,eukarya,animalia,chordata,aves,falconiformes,no,no,yes,no
flamingo,yes,no,eukarya,animalia,chordata,aves,phoenicopteriformes,no,no,yes,no
fox,yes,no,eukarya,animalia,chordata,mammalia,carnivora,no,no,yes,no
giraffe,yes,no,eukarya,animalia,chordata,mammalia,artiodactyla,no,no,yes,no
goose,yes,no,eukarya,animalia,chordata,aves,anseriformes,no,no,yes,no
hamster,yes,no,eukarya,animalia,chordata,mammalia,rodentia,no,no,yes,no
